#,Palavra,Pronúncia,Tradução,Contexto
1826,relief,,alívio,
1827,user,,do utilizador,
1828,dad,,papai,
1829,to kick,,chutar,
1830,part,,papel,
1831,manner,,"maneira, jeito",
1832,ancient,,"antigo, ancestral",
1833,silence,,silêncio,
1834,rating,,avaliação,
1835,golden,,dourado,
1836,motion,,movimento,
1837,German,,alemão,
1838,gender,,gênero sexual,
1839,to solve,,resolver,
1840,fee,,taxa,
1841,landscape,,paisagem,
1842,used,,usado,
1843,bowl,,tigela,
1844,equal,,igual,
1845,long,,grandes,
1846,official,,oficial,
1847,forth,,para frente,
1848,frame,,"quadro, armação",
1849,typical,,típica,
1850,except,,exceto,
1851,conservative,,conservador,
1852,to eliminate,,eliminar,
1853,host,,hospedeiro,
1854,hall,,salão,
1855,to trust,,confiar,
1856,ocean,,oceano,
1857,to score,,pontuar,
1858,row,,fila,
1859,producer,,produtor,
1860,to afford,,pagar,
1861,meanwhile,,enquanto,
1862,regime,,regime,
1863,division,,divisão,
1864,to confirm,,confirmar,
1865,to fix,,consertar,
1866,appeal,,apelo,
1867,mirror,,espelho,
1868,tooth,,dente,
1869,smart,,"inteligente, esperto",
1870,length,,comprimento,
1871,entirely,,inteiramente,
1872,to rely,,confiar,
1873,topic,,"tema, tópico",
1874,to complain,,reclamar,
1875,to issue,,emitir,
1876,variable,,variável,
1877,to back,,apoiar,
1878,to range,,variar,
1879,telephone,,telefone,
1880,perception,,percepção,
1881,to attract,,atrair,
1882,confidence,,confiança,
1883,bedroom,,quarto de dormir,
1884,secret,,segredo,
1885,debt,,dívida,
1886,rare,,cru,
1887,his,,"seu, dele",
1888,tank,,tanque,
1889,nurse,,enfermeira,
1890,coverage,,cobertura,
1891,opposition,,oposição,
1892,aside,,"a parte, de lado",
1893,anywhere,,qualquer lugar,
1894,bond,,vinculo,
1895,to file,,arquivar,
1896,pleasure,,prazer,
1897,master,,mestre,
1898,era,,era,
1899,requirement,,requerimento,
1900,check,,verifica,
1901,stand,,ficar de pé,
1902,fun,,diversão,
1903,expectation,,expectativa,
1904,wing,,asa,
1905,separate,,separado,
1906,now,,agora,
1907,to clear,,limpar,
1908,struggle,,luta,
1909,mean,,malvado,
1910,somewhat,,"de alguma forma, um pouco",
1911,to pour,,derramar,
1912,to stir,,mexer,
1913,judgment,,julgamento,
1914,to clean,,limpar,
1915,except,,exceto,
1916,beer,,cerveja,
1917,English,,inglês,
1918,reference,,referência,
1919,tear,,rasgar,
1920,doubt,,dúvida,
1921,to grant,,conceder,
1922,seriously,,"seriamente, a sério",
1923,to account,,"prestar contas, explicar",
1924,minister,,ministro,
1925,totally,,totalmente,
1926,hero,,herói,
1927,industrial,,industrial,
1928,cloud,,nuvem,
1929,to stretch,,esticar,
1930,winner,,vencedora,
1931,volume,,volume,
1932,travel,,viajar,
1933,seed,,semente,
1934,surprised,,surpreso,
1935,to rest,,descansar,
1936,fashion,,moda,
1937,pepper,,pimenta,
1938,to separate,,separar,
1939,busy,,ocupado,
1940,intervention,,intervenção,
1941,copy,,cópia,
1942,tip,,gorjeta,
1943,below,,abaixo,
1944,cheap,,barato,
1945,to aim,,mirar,
1946,to cite,,citar,
1947,welfare,,bem-estar,
1948,vegetable,,vegetal,
1949,gray,,cinza,
1950,dish,,prato,
1951,beach,,praia,
1952,improvement,,melhoria,
1953,everywhere,,em todos os lugares,
1954,opening,,abertura,
1955,overall,,no geral,
1956,to divide,,dividir,
1957,initial,,inicial,
1958,terrible,,terrível,
1959,to oppose,,se opor,
1960,contemporary,,contemporâneo,
1961,route,,rota,
1962,multiple,,múltiplo,
1963,essential,,essencial,
1964,to question,,questionar,
1965,league,,liga,
1966,criminal,,criminoso,
1967,careful,,cuidadoso,
1968,core,,núcleo,
1969,upper,,"superior, de cima",
1970,to rush,,apressar,
1971,necessarily,,necessariamente,
1972,specifically,,especificamente,
1973,tired,,cansado,
1974,rise,,"aumento, ascenção",
1975,tie,,gravata,
1976,to employ,,empregar,
1977,holiday,,feriado,
1978,to dance,,dançar,
1979,vast,,"vasto, grande",
1980,resolution,,resolução,
1981,household,,casa,
1982,fewer,,menos,
1983,abortion,,aborto,
1984,apart,,separado,
1985,witness,,testemunha,
1986,to match,,combinar,
1987,barely,,por muito pouco,
1988,sector,,setor,
1989,representative,,representante,
1990,to lack,,faltar,
1991,beneath,,abaixo,
1992,beside,,ao lado,
1993,black,,preto,
1994,incident,,incidente,
1995,limited,,limitado,
1996,proud,,orgulhoso,
1997,flow,,fluxo,
1998,faculty,,faculdade,
1999,increased,,aumentou,
2000,waste,,desperdício,
2001,merely,,apenas,
2002,mass,,massa,
2003,to emphasize,,enfatizar,
2004,experiment,,experimentar,
2005,definitely,,definitivamente,
2006,bomb,,bomba,
2007,enormous,,enorme,
2008,tone,,tom,
2009,liberal,,liberal,
2010,massive,,maciço,
2011,engineer,,engenheiro,
2012,wheel,,roda,
2013,female,,fêmea,
2014,to decline,,"recusar, negar",
2015,to invest,,investir,
2016,promise,,promessa,
2017,cable,,cabo,
2018,towards,,em direção,
2019,to expose,,expor,
2020,rural,,rural,
2021,AIDS,,AIDS,
2022,Jew,,judeu,
2023,narrow,,estreito,
2024,cream,,creme,
2025,secretary,,secretário,
2026,gate,,portão,
2027,solid,,sólido,
2028,hill,,colina,
2029,typically,,tipicamente,
2030,noise,,ruído,
2031,grass,,grama,
2032,unfortunately,,infelizmente,
2033,hat,,chapéu,
2034,legislation,,legislação,
2035,to succeed,,"ter sucesso, ser bem sucedido",
2036,either,,ou...ou / qualquer um,
2037,to celebrate,,celebrar,
2038,achievement,,conquista,
2039,fishing,,pescaria,
2040,drink,,bebida,
2041,to accuse,,acusar,
2042,to hand,,entregar,
2043,useful,,útil,
2044,to land,,pousar,
2045,secret,,segredo,
2046,to reject,,rejeitar,
2047,talent,,talento,
2048,taste,,gosto,
2049,characteristic,,característica,
2050,milk,,leite,
2051,to escape,,escapar,
2052,to cast,,lançar,
2053,sentence,,frase,
2054,unusual,,incomum,
2055,closely,,de perto,
2056,to convince,,convencer,
2057,height,,altura,
2058,physician,,médico,
2059,to assess,,avaliar,
2060,sleep,,dormir,
2061,plenty,,bastante,
2062,ride,,passeio,
2063,virtually,,virtualmente,
2064,first,,primeiro,
2065,addition,,adição,
2066,sharp,,afiado,
2067,creative,,criativo,
2068,to lower,,abaixar,
2069,behind,,atras do,
2070,to approve,,aprovar,
2071,explanation,,explicação,
2072,outside,,fora,
2073,gay,,gay,
2074,campus,,campus,
2075,proper,,apropriado,
2076,live,,viver,
2077,guilty,,culpado,
2078,living,,vivo,
2079,to acquire,,adquirir,
2080,to compete,,competir,
2081,technical,,técnico,
2082,plus,,mais,
2083,to mind,,à mente,
2084,potential,,potencial,
2085,immigrant,,imigrante,
2086,weak,,fraco,
2087,illegal,,ilegal,
2088,hi,,oi,
2089,alternative,,alternativa,
2090,interaction,,interação,
2091,column,,coluna,
2092,personality,,personalidade,
2093,signal,,sinal,
2094,curriculum,,currículo,
2095,to list,,listar,
2096,honor,,honra,
2097,passenger,,passageiro,
2098,assistance,,assistência,
2099,forever,,para todo sempre,
2100,fun,,diversão,
2101,to regard,,considerar,
2102,Israeli,,israelense,
2103,association,,associação,
2104,twenty,,vinte,
2105,to knock,,bater,
2106,to review,,rever,
2107,to wrap,,embrulhar,
2108,lab,,laboratório,
2109,offer,,oferta,
2110,to display,,mostrar,
2111,criticism,,crítica,
2112,asset,,ativo,
2113,depression,,depressão,
2114,spiritual,,espiritual,
2115,musical,,musical,
2116,journalist,,jornalista,
2117,prayer,,oração,
2118,to suspect,,suspeitar,
2119,scholar,,estudioso,
2120,warning,,aviso,
2121,climate,,clima,
2122,cheese,,queijo,
2123,observation,,observação,
2124,childhood,,infância,
2125,payment,,forma de pagamento,
2126,sir,,senhor,
2127,to permit,,permitir,
2128,cigarette,,cigarro,
2129,definition,,definição,
2130,priority,,prioridade,
2131,bread,,pão,
2132,creation,,criação,
2133,graduate,,graduado,
2134,request,,solicitação,
2135,emotion,,emoção,
2136,to scream,,gritar,
2137,dramatic,,dramático,
2138,universe,,universo,
2139,gap,,gap = vão,
2140,excellent,,excelente,
2141,deeply,,profundamente,
2142,prosecutor,,promotor,
2143,mark,,marca,
2144,green,,verde,
2145,lucky,,afortunado,
2146,to drag,,arrastar,
2147,airline,,cia aérea,
2148,library,,biblioteca,
2149,agenda,,agenda,
2150,to recover,,recuperar,
2151,factory,,fábrica,
2152,selection,,seleção,
2153,primarily,,principalmente,
2154,roof,,teto,
2155,unable,,impossível,
2156,expense,,despesa,
2157,initiative,,iniciativa,
2158,diet,,dieta,
2159,to arrest,,prender,
2160,funding,,financiamento,
2161,therapy,,terapia,
2162,to wash,,lavar,
2163,schedule,,agendar,
2164,sad,,triste,
2165,brief,,"curto, breve",
2166,housing,,habitação,
2167,post,,publicar,
2168,to purchase,,comprar,
2169,existing,,existir,
2170,dark,,sombrio,
2171,steel,,aço,
2172,regarding,,em relação a,
2173,to shout,,gritar,
2174,remaining,,remanescente,
2175,visual,,visual,
2176,fairly,,com justiça,
2177,chip,,lasca,
2178,violent,,violento,
2179,silent,,silencioso,
2180,to suppose,,para supor,
2181,self,,auto,
2182,bike,,bicicleta,
2183,tea,,chá,
2184,to perceive,,perceber,
2185,comparison,,comparação,
2186,settlement,,assentamento,
2187,layer,,camada,
2188,planning,,planejamento,
2189,far,,distante,
2190,description,,descrição,
2191,later,,mais tarde,
2192,to slow,,"abrandar, diminuir a velocidade",
2193,to slide,,deslizar,
2194,widely,,largamente,
2195,wedding,,casamento,
2196,to inform,,informar,
2197,portion,,parte,
2198,territory,,território,
2199,immediate,,imediato,
2200,opponent,,oponente,
2201,to abandon,,abandonar,
2202,link,,link,
2203,mass,,massa,
2204,lake,,lago,
2205,to transform,,transformar,
2206,tension,,tensão,
2207,display,,"exibição, amostra",
2208,leading,,principal,
2209,to bother,,incomodar,
2210,to consist,,consistir,
2211,alcohol,,álcool,
2212,to enable,,habilitar,
2213,to bend,,dobrar,
2214,saving,,salvando,
2215,gain,,"ganho, aumento",
2216,desert,,deserto,
2217,to shall,,dever,
2218,error,,erro,
2219,release,,"liberação, alívio",
2220,cop,,policial,
2221,Arab,,árabe,
2222,double,,duplo,
2223,walk,,caminhada,
2224,sand,,areia,
2225,Spanish,,espanhol,
2226,to rule,,governar,
2227,hit,,"bater, socar, acertar",
2228,print,,impressão,
2229,to preserve,,preservar,
2230,passage,,passagem,
2231,formal,,formal,
2232,transition,,transição,
2233,existence,,existência,
2234,album,,álbum,
2235,participation,,participação,
2236,to arrange,,"organizar, arranjar",
2237,atmosphere,,atmosfera,
2238,joint,,articulação,
2239,to reply,,responder,
2240,cycle,,ciclo,
2241,opposite,,oposto,
2242,to lock,,trancar,
2243,whole,,inteira,
2244,to deserve,,merecer,
2245,consistent,,consistente,
2246,resistance,,resistência,
2247,discovery,,descoberta,
2248,to tear,,rasgar,
2249,exposure,,exposição,
2250,to pose,,posar,
2251,stream,,riacho,
2252,sale,,"oferta, desconto",
2253,trust,,confiança,
2254,to benefit,,beneficiar,
2255,pot,,panela,
2256,grand,,grande,
2257,mine,,"minha, meu",
2258,hello,,"oi, olá",
2259,coalition,,"aliança, coalição",
2260,tale,,conto,
2261,knife,,faca,
2262,to resolve,,resolver,
2263,racial,,racial,
2264,phase,,fase,
2265,present,,presente,
2266,joke,,piada,
2267,coat,,casaco,
2268,Mexican,,mexicano,
2269,symptom,,sintoma,
2270,to contact,,contactar,
2271,manufacturer,,fabricante,
2272,philosophy,,filosofia,
2273,potato,,batata,
2274,to interview,,entrevistar,
2275,foundation,,fundação,
2276,to quote,,citar,
2277,online,,online,
2278,pass,,passe,
2279,negotiation,,negociação,
2280,good,,"boa, bom",
2281,to urge,,incitar,
2282,occasion,,ocasião,
2283,dust,,pó,
2284,to breathe,,respirar,
2285,to elect,,eleger,
2286,investigator,,investigador,
2287,jacket,,jaqueta,
2288,glad,,"alegre, feliz",
2289,ordinary,,comum,
2290,reduction,,redução,
2291,rarely,,raramente,
2292,shift,,mudança,
2293,to pack,,fazer as malas,
2294,suicide,,suicídio,
2295,numerous,,numeroso,
2296,touch,,toque,
2297,substance,,substância,
2298,discipline,,disciplina,
2299,elsewhere,,em outro lugar,
2300,iron,,ferro,
2301,practical,,prático,
2302,moreover,,além disso,
2303,passion,,paixão,
2304,volunteer,,voluntário,
2305,to implement,,implementar,
2306,essentially,,essencialmente,
2307,gene,,gene,
2308,enforcement,,fiscalização,
2309,vs,,versus,
2310,sauce,,molho,
2311,independence,,independência,
2312,marketing,,marketing,
2313,priest,,padre,
2314,amazing,,incrível,
2315,intense,,intenso,
2316,advance,,avanço,
2317,employer,,empregador,
2318,shock,,choque,
2319,to inspire,,inspirar,
2320,to adjust,,ajustar,
2321,to retire,,aposentar-se,
2322,sure,,certo,
2323,visible,,visível,
2324,to kiss,,beijar,
2325,illness,,doença,
2326,cap,,boné,
2327,habit,,hábito,
2328,competitive,,competitivo,
2329,juice,,suco,
2330,congressional,,congressional,
2331,involvement,,envolvimento,
2332,to dominate,,dominar,
2333,previously,,anteriormente,
2334,whenever,,em qualquer momento,
2335,to transfer,,transferir,
2336,to analyze,,analisar,
2337,another,,outro,
2338,to attach,,anexar,
2339,for,,por,
2340,Indian,,indiano,
2341,disaster,,desastre,
2342,parking,,estacionamento,
2343,prospect,,perspectiva,
2344,boss,,"patrão, chefe",
2345,complaint,,reclamação,
2346,championship,,campeonato,
2347,to coach,,treinar,
2348,to exercise,,exercitar,
2349,fundamental,,fundamental,
2350,severe,,"severo, forte",
2351,to enhance,,melhorar,
2352,mystery,,mistério,
2353,to impose,,"obrigar, impor",
2354,poverty,,pobreza,
2355,other,,outro,
2356,entry,,entrada,
2357,fat,,gordo,
2358,spending,,gastos,
2359,king,,rei,
2360,to evaluate,,avaliar,
2361,symbol,,símbolo,
2362,still,,"parado, quieto",
2363,to trade,,negociar,
2364,maker,,criador,
2365,mood,,humor,
2366,to accomplish,,realizar,
2367,emphasis,,ênfase,
2368,to illustrate,,ilustrar,
2369,boot,,bota,
2370,to monitor,,monitorar,
2371,Asian,,asiático,
2372,entertainment,,entretenimento,
2373,bean,,feijão,
2374,evaluation,,avaliação,
2375,creature,,criatura,
2376,commander,,comandante,
2377,digital,,digital,
2378,arrangement,,arranjo,
2379,to concentrate,,concentrar,
2380,total,,total,
2381,usual,,"habitual, usual",
2382,anger,,raiva,
2383,psychological,,psicológico,
2384,heavily,,"fortemente, pesadamente",
2385,peak,,pico,
2386,approximately,,aproximadamente,
2387,increasing,,crescente,
2388,disorder,,"desordem, transtorno",
2389,missile,,míssil,
2390,equally,,igualmente,
2391,to vary,,variar,
2392,wire,,arame,
2393,round,,redondo,
2394,distribution,,distribuição,
2395,transportation,,transporte,
2396,holy,,piedosos,
2397,to ring,,"tocar, soar",
2398,twin,,gêmeo,
2399,command,,comando,
2400,commission,,comissão,
2401,interpretation,,interpretação,
2402,breakfast,,café da manhã,
2403,stop,,parada,
2404,strongly,,fortemente,
2405,engineering,,engenharia,
2406,luck,,sorte,
2407,so-called,,chamado,
2408,constant,,constante,
2409,to race,,correr,
2410,clinic,,clínica,
2411,veteran,,veterano,
2412,to smell,,"cheirar, feder",
2413,tablespoon,,colher de sopa,
2414,capable,,capaz,
2415,nervous,,nervoso,
2416,tourist,,turista,
2417,to light,,"acender, iluminar",
2418,to toss,,"jogar, lançar",
2419,crucial,,crucial,
2420,to bury,,enterrar,
2421,to pray,,rezar,
2422,tomato,,tomate,
2423,exception,,exceção,
2424,butter,,manteiga,
2425,deficit,,déficit,
2426,bathroom,,banheiro,
2427,objective,,objetivo,
2428,to block,,bloquear,
2429,electronic,,eletrônico,
2430,ally,,aliado,
2431,journey,,jornada,
2432,reputation,,reputação,
2433,mixture,,mistura,
2434,surely,,certamente,
2435,tower,,torre,
2436,smoke,,fumaça,
2437,to confront,,confrontar,
2438,pure,,puro,
2439,to glance,,olhar de relance,
2440,dimension,,dimensão,
2441,toy,,brinquedo,
2442,prisoner,,prisioneiro,
2443,fellow,,amigo,
2444,smooth,,suave,
2445,nearby,,próximo,
2446,peer,,par,
2447,designer,,"desenhista, designer",
2448,personnel,,pessoal,
2449,to shape,,moldar,
2450,educator,,educador,
2451,relative,,"relativo, parente",
2452,immigration,,imigração,
2453,belt,,cinto,
2454,teaspoon,,colher de chá,
2455,birthday,,aniversário,
2456,implication,,implicação,
2457,perfectly,,perfeitamente,
2458,coast,,costa,
2459,supporter,,torcedor,
2460,to accompany,,"acompanhar, seguir",
2461,silver,,prata,
2462,teenager,,adolescente,
2463,recognition,,reconhecimento,
2464,retirement,,aposentadoria,
2465,flag,,bandeira,
2466,recovery,,recuperação,
2467,to whisper,,sussurar,
2468,watch,,"ver, assistir",
2469,gentleman,,cavalheiro,
2470,corn,,milho,
2471,moon,,lua,
2472,inner,,interno,
2473,junior,,júnior,
2474,rather,,em vez,
2475,throat,,garganta,
2476,salary,,salário,
2477,to swing,,balançar,
2478,observer,,observador,
2479,due,,a verncer,
2480,straight,,reto,
2481,publication,,publicação,
2482,pretty,,bonito,
2483,crop,,colheita,
2484,to dig,,cavar,
2485,strike,,"batida, soco",
2486,permanent,,permanente,
2487,to plant,,plantar,
2488,phenomenon,,fenômeno,
2489,anxiety,,ansiedade,
2490,unlike,,diferente de,
2491,wet,,molhado,
2492,literally,,literalmente,
2493,to resist,,resistir,
2494,convention,,convenção,
2495,to embrace,,abraçar,
2496,to supply,,suprir,
2497,to assist,,ajudar,
2498,exhibition,,exibição,
2499,to construct,,construir,
2500,viewer,,espectador,
2501,pan,,frigideira,
2502,consultant,,consultor,
2503,soon,,em breve,
2504,to line,,alinhar,
2505,administrator,,administrador,
2506,to date,,namorar,
2507,occasionally,,ocasionalmente,
2508,mayor,,prefeito,
2509,consideration,,consideração,
2510,CEO,,CEO,
2511,to secure,,"assegurar, fixar",
2512,pink,,rosa,
2513,to smoke,,fumar,
2514,estimate,,estimativa,
2515,buck,,bode,
2516,historic,,histórico,
2517,poem,,poema,
2518,grandmother,,avó,
2519,to bind,,ligar,
2520,fifth,,quinto,
2521,constantly,,constantemente,
2522,enterprise,,"empreendimento, empresa",
2523,to favor,,favorecer,
2524,testing,,testes,
2525,stomach,,estômago,
2526,apparent,,aparente,
2527,to weigh,,pesar,
2528,to install,,instalar,
2529,sensitive,,sensível,
2530,suggestion,,sugestão,
2531,mail,,correspondência,
2532,recipe,,receita,
2533,reasonable,,razoável,
2534,preparation,,preparação,
2535,wooden,,de madeira,
2536,elementary,,elementar,
2537,concert,,"concerto, show",
2538,aggressive,,agressivo,
2539,falso,,falso,
2540,intention,,intenção,
2541,channel,,canal,
2542,extreme,,extremo,
2543,tube,,tubo,
2544,drawing,,desenho,
2545,protein,,proteína,
2546,to quit,,desistir,
2547,absence,,ausência,
2548,roll,,rolo,
2549,Latin,,latino,
2550,rapidly,,rapidamente,
2551,jail,,cadeia,
2552,to comment,,comentar,
2553,diversity,,diversidade,
2554,honest,,honesto,
2555,Palestinian,,palestino,
2556,pace,,ritmo,
2557,employment,,emprego,
2558,speaker,,"falante, palestrante",
2559,impression,,impressão,
2560,essay,,redação,
2561,respondent,,respondente,
2562,giant,,gigante,
2563,cake,,bolo,
2564,historian,,historiador,
2565,to negotiate,,negociar,
2566,to restore,,restaurar,
2567,substantial,,substancial,
2568,to pop,,"estourar, explodir",
2569,particular,,especial,
2570,specialist,,especialista,
2571,origin,,origem,
2572,approval,,aprovação,
2573,mine,,mina,
2574,quietly,,silenciosamente,
2575,to advise,,aconselhar,
2576,conventional,,convencional,
2577,drop,,"caída, descida",
2578,count,,conte,
2579,depth,,profundidade,
2580,wealth,,riqueza,
2581,disability,,deficiência,
2582,shell,,concha,
2583,general,,em geral,
2584,to criticize,,criticar,
2585,fast,,"veloz, rápido",
2586,professional,,profissional,
2587,effectively,,efetivamente,
2588,biological,,biológico,
2589,pack,,pacote,
2590,onion,,cebola,
2591,deputy,,deputado,
2592,flat,,plano,
2593,brand,,marca,
2594,to assure,,assegurar-se,
2595,mad,,"louco, zangado",
2596,award,,prêmio,
2597,criteria,,critério,
2598,dealer,,distribuidor,
2599,via,,através da,
2600,alternative,,alternativo,
2601,utility,,utilidade,
2602,precisely,,precisamente,
2603,to arise,,"surgir, acordar",
2604,armed,,armado,
2605,nevertheless,,mesmo assim,
2606,highway,,rodovia,
2607,clinical,,clínico,
2608,routine,,rotina,
2609,to schedule,,agendar,
2610,wage,,remuneração,
2611,normally,,normalmente,
2612,phrase,,frase,
2613,ingredient,,ingrediente,
2614,stake,,estaca,
2615,Muslim,,muçulmano,
2616,to dream,,sonhar,
2617,fiber,,fibra,
2618,activist,,ativista,
2619,Islamic,,islâmico,
2620,to snap,,"estalar, romper (tendão)",
2621,terrorism,,terrorismo,
2622,refugee,,refugiado,
2623,to incorporate,,incorporar,
2624,hip,,quadril,
2625,ultimate,,final,
2626,to switch,,"mudar, trocar",
2627,corporation,,corporação,
2628,valuable,,valioso,
2629,assumption,,suposição,
2630,gear,,engrenagem,
2631,to graduate,,"graduar-se, formar-se",
2632,barrier,,barreira,
2633,minor,,menor,
2634,provision,,provisão,
2635,killer,,"assassino, matador",
2636,to assign,,atribuir,
2637,gang,,gangue,
2638,developing,,em desenvolvimento,
2639,classic,,clássico,
2640,chemical,,químico,
2641,to wave,,acenar,
2642,label,,rótulo,
2643,teen,,adolescente,
2644,index,,índice,
2645,vacation,,férias,
2646,advocate,,advogado,
2647,draft,,"esboço, projeto",
2648,extraordinary,,extraordinário,
2649,heaven,,"paraíso, céu",
2650,rough,,"duro, difícil",
2651,to yell,,gritar,
2652,pregnant,,grávida,
2653,distant,,distante,
2654,drama,,drama,
2655,satellite,,satélite,
2656,personally,,pessoalmente,
2657,wonder,,maravilha,
2658,clock,,relógio,
2659,chocolate,,chocolate,
2660,Italian,,italiano,
2661,Canadian,,canadense,
2662,ceiling,,teto,
2663,to sweep,,varrer,
2664,advertising,,anúncio,
2665,universal,,universal,
2666,to spin,,girar,
2667,to house,,abrigar,
2668,button,,botão,
2669,bell,,sino,
2670,rank,,"classificação, ranking",
2671,darkness,,escuridão,
2672,ahead,,à frente,
2673,clothing,,roupas,
2674,super,,super,
2675,to yield,,render-se,
2676,fence,,cerca,
2677,portrait,,retrato,
2678,paint,,pintar,
2679,survival,,sobrevivência,
2680,roughly,,aproximadamente,
2681,lawsuit,,"ação judicial, processo",
2682,bottom,,inferior,
2683,testimony,,testemunho,
2684,bunch,,monte,
2685,beat,,"bater, vencer",
2686,to wind,,dar corda,
2687,to found,,"dundar, iniciar",
2688,burden,,fardo,
2689,to react,,reagir,
2690,chamber,,câmara,
2691,furniture,,"mobiliário, móveis",
2692,cooperation,,cooperação,
2693,string,,"corda, fio",
2694,ceremony,,cerimônia,
2695,to communicate,,comunicar,
2696,to taste,,"provar, saborear",
2697,cheek,,bochecha,
2698,lost,,perdido,
2699,profile,,perfil,
2700,mechanism,,mecanismo,
2701,to disagree,,discordar,
2702,like,,como,
2703,penalty,,"pena, penâlti, penalidade",
2704,match,,"partida, jogo",
2705,ie,,ou seja,
2706,to advance,,avançar,
2707,resort,,resort,
2708,destruction,,destruição,
2709,bear,,urso,
2710,unlikely,,improvável,
2711,tissue,,tecido,
2712,constitutional,,constitucional,
2713,pant,,calça,
2714,stranger,,desconhecido,
2715,infection,,infecção,
2716,cabinet,,gabinete,
2717,broken,,quebrado,
2718,apple,,maçã,
2719,electric,,elétrico,
2720,to proceed,,prosseguir,
2721,to track,,rastrear,
2722,to bet,,apostar,
2723,literary,,literário,
2724,virus,,vírus,
2725,stupid,,estúpido,
2726,dispute,,disputa,
2727,fortune,,fortuna,
2728,strategic,,estratégico,
2729,assistant,,assistente,
2730,to overcome,,superar,
2731,remarkable,,extraordinário,
2732,to occupy,,ocupar,
2733,statistics,,estatisticas,
2734,shopping,,compras,
2735,cousin,,primo,
2736,to encounter,,encontrar,
2737,to wipe,,limpar,
2738,initially,,inicialmente,
2739,blind,,cego,
2740,white,,branco,
2741,port,,porta,
2742,to honor,,honrar,
2743,electricity,,eletricidade,
2744,genetic,,genético,
2745,adviser,,conselheiro,
2746,pay,,pagar,
2747,spokesman,,porta-voz,
2748,to retain,,reter,
2749,latter,,último,
2750,incentive,,incentivo,
2751,slave,,escravo,
2752,chemical,,químico,
2753,to translate,,traduzir,
2754,accurate,,preciso,
2755,whereas,,enquanto,
2756,terror,,terror,
2757,though,,no entanto,
2758,expansion,,expansão,
2759,elite,,elite,
2760,Olympic,,olímpico,
2761,dirt,,sujeira,
2762,odd,,ímpar,
2763,rice,,arroz,
2764,bullet,,bala,
2765,tight,,apertado,
2766,Bible,,Bíblia,
2767,chart,,gráfico,
2768,solar,,solar,
2769,decline,,declínio,
2770,conservative,,conservador,
2771,to process,,processar,
2772,square,,quadrado,
2773,stick,,Vara,
2774,concentration,,concentração,
2775,complicated,,complicado,
2776,gently,,suavemente,
2777,champion,,campeão,
2778,scenario,,cenário,
2779,telescope,,telescópio,
2780,reflection,,reflexão,
2781,revolution,,revolução,
2782,strip,,faixa,
2783,to interpret,,interpretar,
2784,friendly,,amigável,
2785,tournament,,torneio,
2786,fiction,,ficção,
2787,to detect,,detectar,
2788,to balance,,equilibrar,
2789,likely,,provável,
2790,tremendous,,tremendo,
2791,lifetime,,vida,
2792,recommendation,,recomendação,
2793,to flow,,fluir,
2794,senator,,senador,
2795,to market,,ao mercado,
2796,hunting,,Caçando,
2797,salad,,salada,
2798,to guarantee,,garantir,
2799,innocent,,inocente,
2800,boundary,,fronteira,
2801,to pause,,pausar,
2802,remote,,remoto,
2803,satisfaction,,satisfação,
2804,journal,,Diário,
2805,bench,,banco de sentar,
2806,lover,,amante,
2807,raw,,cru,
2808,awareness,,consciência,
2809,surprising,,surpreendente,
2810,to withdraw,,sacar,
2811,general,,em geral,
2812,deck,,área coberta,
2813,similarly,,similarmente,
2814,newly,,recentemente,
2815,pole,,pólo,
2816,to testify,,testemunhar,
2817,mode,,modo,
2818,dialogue,,diálogo,
2819,to imply,,implicar,
2820,naturally,,naturalmente,
2821,mutual,,mútuo,
2822,founder,,fundador,
2823,top,,topo,
2824,advanced,,avançado,
2825,pride,,orgulho,
2826,to dismiss,,dispensar,
2827,aircraft,,aeronave,
2828,delivery,,Entrega,
2829,mainly,,principalmente,
2830,to bake,,assar,
2831,to freeze,,congelar,
2832,platform,,plataforma,
2833,finance,,finança,
2834,to sink,,afundar,
2835,attractive,,atraente,
2836,to respect,,respeitar,
2837,diverse,,diverso,
2838,relevant,,relevante,
2839,ideal,,ideal,
2840,joy,,alegria,
2841,worth,,valor,
2842,regularly,,regularmente,
2843,working,,trabalhador,
2844,singer,,cantor,
2845,to evolve,,evoluir,
2846,shooting,,tiroteio,
2847,partly,,parcialmente,
2848,unknown,,desconhecido,
2849,assistant,,assistente,
2850,offense,,ofensa,
2851,counter,,contador,
2852,DNA,,ADN,
2853,smell,,cheiro,
2854,potentially,,potencialmente,
2855,transfer,,transferir,
2856,thirty,,trinta,
2857,to justify,,justificar,
2858,protest,,protesto,
2859,crash,,colidir,
2860,craft,,construir,
2861,treaty,,tratado,
2862,terrorist,,terrorista,
2863,insight,,entendimento,
2864,to possess,,possuir,
2865,politically,,politicamente,
2866,to tap,,tocar,
2867,lie,,mentira,
2868,extensive,,extenso,
2869,episode,,episódio,
2870,to double,,dobrar,
2871,to swim,,nadar,
2872,to tire,,cansar,
2873,fault,,culpa,
2874,loose,,"solto, froxo",
2875,to free,,"liberar, libertar",
2876,shortly,,em breve,
2877,originally,,originalmente,
2878,considerable,,considerável,
2879,prior,,prévio,
2880,intellectual,,intelectual,
2881,mix,,misturar,
2882,assault,,assalto,
2883,to relax,,relaxar,
2884,stair,,escada,
